catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HIP 69673,* alf Boo,213.915300294925,19.1824091615312,-1093.39,-2000.06,88.83,0.54,RG*,K1.5IIIFe-0.5,-5.229,0.0002,-0.05,NAME Arcturus
HIP 91262,* alf Lyr,279.234734787025,38.783688956244,200.94,286.23,130.23,0.36,dS*,A0V,-13.5,0.4,0.03,NAME Vega
HIP 116805,* kap And,355.1021155795796,44.33393296378723,79.998,-19.011,19.4064,0.2104,PM*,B9IVn,-12.7,0.8,4.14,
HIP 11020,HD  14433,35.48098109154,57.24291666596999,-0.581,-1.22,0.4509,0.0188,sg*,A1Ia,-47.9,0.1,6.48,
HIP 4427,* gam Cas,14.17721289375,60.71674002472222,25.17,-3.92,5.94,0.12,HXB,B0.5IVpe,-6.8,0.9,2.39,
HIP 116737,* tet Phe,354.8664340086003,-46.63779988983379,22.37,40.39,12.68,0.68,**,A7III+A/F,13.9,0.9,6.09,
HIP 83608B,* mu. Dra B,256.3342110487,54.47063197171,-97.897,94.87,36.7902,0.1171,SB*,F6V,-18.3,0.9,5.69,
HIP 62894,HD 111904,193.34122680428,-60.32848919842,-4.536,-1.121,0.4436,0.031,*,B9Iab,-23.0,1.0,5.77,
HIP 91394,HD 172088,279.599157506206,-3.1936486714321,4.504,35.585,20.519,0.6168,**,F8V,-15.47,1.75,6.482,
HIP 93537,HD 176884,285.76585520589,-19.24568349909,2.784,-10.48,2.9212,0.0727,*,K0II/III,-19.78,0.19,6.0,
HIP 102497,HD 197630,311.5836158138,-39.1992663807,50.451,-27.196,9.9354,0.1022,PM*,B8/9V,-30.0,7.4,5.47,
HIP 100764,HD 194184,306.4496951649,-40.79618484098,-104.146,-87.025,8.354,0.0922,SB*,K3III,42.4,0.9,6.08,
HIP 101558,HD 195814,308.73114988258,-38.08989126979,18.665,-12.048,15.1304,0.0327,*,A5mA7-A9,23.18,0.14,6.432,
HIP 102916,HD 198357,312.75315902447994,-37.91333116413999,-7.436,-17.374,5.7348,0.0797,*,K3III,18.75,0.13,5.5,
HIP 102230,HD 197093,310.7206729140099,-39.55883055744,18.647,-8.535,3.2431,0.0365,*,K1III,-6.15,0.13,6.289,
HIP 103646,HD 199684,314.99871919257,-36.12963847418,102.575,-57.085,24.0563,0.0278,PM*,F2V,15.79,0.23,6.096,
HIP 90853,* del02 Tel,278.00810174593,-45.75737918015,1.471,-10.798,2.8861,0.1251,SB*,B3IV/V,7.6,2.0,5.07,
HIP 94712,HD 179886,289.09059235549,-45.46602890585,-3.013,10.017,4.6441,0.1537,**,K3III,1.78,0.25,5.371,
HIP 90422,* alf Tel,276.74340176679584,-45.968457754716674,-17.31,-53.512,11.6696,0.4046,PM*,B3IV,-0.2,2.0,3.463,
HIP 89096,HD 166006,272.7683531491,-47.51312140446,-3.117,-30.438,5.5829,0.0277,*,K1IIICNII,-16.51,0.14,6.069,
HIP 88859,HD 165493,272.12546493312,-45.76700952867,-4.112,-17.994,3.534,0.0696,*,B7/8II,-35.0,4.3,6.163,
HIP 90830,* del01 Tel,277.9393050123404,-45.91481250026611,-3.419,-26.369,5.0638,0.1186,SB*,B5/7,7.0,5.0,4.92,
HIP 90662,HD 170069,277.48308912069,-47.22054166451,28.685,-12.434,5.5748,0.1894,*,K2III,-25.96,0.2,5.679,
HIP 92367,HD 173791,282.36393043726,-45.81010002503,74.263,57.015,8.9671,0.0429,HB*,G8III,11.57,0.17,5.798,
HIP 98485,HD 189140,300.11035825781,-43.04330427205,22.474,11.087,2.9672,0.064,*,M0II/III,-33.91,0.15,6.097,
HIP 95294,* bet02 Sgr,290.80473985061576,-44.79977880009028,93.218,-53.775,23.3612,0.2744,PM*,F2/3V,11.5,1.0,4.27,NAME Arkab Posterior
HIP 85788,HD 158476,262.95457708782,-46.03678643111,1.81,-3.806,1.761,0.046,*,F8/G0Ib,-26.69,0.78,6.028,
HIP 98579,HD 189388,300.36157801746,-40.814334417800005,25.872,-39.047,11.2432,0.0293,*,A2/3V,-37.62,0.47,6.306,
HIP 95396,HD 181925,291.0894725209,-43.72206526051,28.454,-3.555,5.4555,0.0721,*,M1/2III,-14.57,0.17,6.132,
HIP 84556,HD 155985,259.27309087239,-44.77859556452,2.262,-3.788,0.8963,0.0297,*,B0.5Ib,-17.0,4.3,6.487,
HIP 87404,HD 162123,267.9356644556099,-45.60070770435001,10.339,-8.499,4.8779,0.0299,*,G6III,-7.29,0.12,6.087,
HIP 84033,HD 154948,257.67633011433,-44.55769775834,-33.468,-64.424,11.0711,0.225,PM*,G8/K0III+G,-3.9,0.14,5.08,
HIP 76234,HD 138564,233.58688609631,-39.34920830272,-27.949,-36.428,10.0735,0.0391,*,B9V,8.37,0.47,6.349,
HIP 77350,HD 140861,236.85632762619,-40.19420852702,-156.691,-41.954,8.5107,0.0242,PM*,G5IIICH1,-25.26,0.14,6.414,
HIP 79661,HD 145921,243.84982430567996,-42.89942483435001,-28.011,-5.871,12.0393,0.0358,*,K2III,5.15,0.15,6.135,
HIP 80212,HD 147225,245.62111454168,-43.9120551456,-8.111,-12.499,3.5319,0.0537,*,G3II,-9.43,0.18,5.915,
HIP 76063,HD 138204,233.01744224891,-38.6225408578,-51.552,-69.626,18.1388,0.031,PM*,A3III,-1.65,0.57,6.219,
HIP 79963,* lam Nor,244.8235275179167,-42.67397260722223,7.59,-13.3,9.35,0.76,**,A3V,-15.0,3.7,5.44,
HIP 103127,HD 198716,313.4174390923,-39.80986368227,43.548,-97.023,8.2435,0.0774,PM*,K2III,20.1,2.0,5.334,
HIP 74224,HD 134255,227.53051955454,-38.79250997173,-24.461,-20.524,6.8314,0.0423,*,G6III,-34.35,0.25,5.978,
HIP 73901,HD 133550,226.55805884062,-36.26460191974,-22.647,-6.916,3.0269,0.052,*,K5III,-35.97,0.17,6.269,
HIP 99570,HD 191584,303.09933380299,-42.78005990489,-21.056,-99.382,9.7839,0.0275,PM*,K1III,0.7,0.17,6.191,
HIP 100469,* kap01 Sgr,305.6145927403999,-42.04956200232,40.977,-84.466,14.6303,0.0865,PM*,A0V,-2.92,0.48,5.59,
HIP 98512,HD 189198,300.20134900145,-45.11292331023,-3.106,4.456,14.5955,0.4614,*,F0/2IV,3.0,4.3,5.781,
HIP 90414,HD 169405,276.72505744381,-48.11723995121,3.041,-54.895,12.2045,0.2664,PM*,K0/1III+F/G,3.8,2.0,5.446,
HIP 96341,* iot Tel,293.8041097609399,-48.0991990457,-8.19,-36.977,8.6546,0.1055,*,K0III,22.45,0.14,4.879,
HIP 90223,HD 168871,276.13807387503,-49.65287744848,32.659,-149.822,36.5735,0.0221,PM*,G0-V,32.571,0.0003,6.454,
HIP 91461,HD 171819,279.80955370896,-47.90976444460001,25.426,13.951,10.4348,0.1045,*,A7IV/V,22.63,1.75,5.84,
HIP 91662,HD 172223,280.37783281601,-48.09468925692,-17.021,-116.222,8.9173,0.0224,PM*,K2III/IVCNII,-45.48,0.29,6.454,
HIP 93862,HD 177406,286.73169573464,-48.29914431437,13.5,-12.738,8.8414,0.0541,*,A0V,-2.94,0.23,5.951,
HIP 83481,HD 153791,255.92367958966,-47.1605714613,-0.85,5.506,6.2769,0.0351,*,A2/3V,0.62,0.19,6.064,
HIP 84759,HD 156331,259.87714189961,-50.06376301160001,7.582,-32.837,16.7029,0.048,**,F3IV/V,11.78,0.44,6.267,
HIP 85792,* alf Ara,262.9603813675,-49.87614501138889,-33.27,-67.22,12.2,0.85,Be*,B2Vne,0.0,,2.95,
HIP 79653,* tet Nor,243.81382400228,-47.37201987805,-34.654,-45.784,8.9049,0.1072,PM*,B8V,24.174,0.277,5.124,
HIP 80782,HD 148379,247.42636572727,-46.24323081461001,-3.403,-4.121,0.6505,0.0784,s*b,B2Iab,-15.74,1.99,5.37,
HIP 73116,HD 131752,224.1489821322,-39.41600537502,-39.646,-19.792,7.6634,0.1864,*,A0/1V,-7.3,1.3,6.357,
HIP 75141,* del Lup,230.34297427253,-40.64753036915,-9.163,-17.377,6.7296,0.4819,bC*,B1.5IV,-2.4,2.8,3.19,
HIP 104925,HD 202135,318.80995028642,-40.50606360529,101.547,6.707,7.388,0.0335,PM*,K2III,-40.8,0.18,6.212,
HIP 73826,HD 133340,226.32985371846,-41.067237088960006,21.819,-1.605,8.9968,0.133,*,G8III,-3.1,2.0,5.127,
HIP 104177,* eta Mic,316.60633258949,-41.38596449331,28.531,-12.09,3.5881,0.0654,*,K3III,22.29,0.13,5.505,
HIP 73279,HD 132096,224.65220461261,-39.90717466451,-74.54,-80.017,9.5334,0.0482,PM*,K1III,24.53,0.17,6.163,
HIP 71865,* b Cen,220.48996060458245,-37.79349450012777,-29.828,-31.914,10.0339,0.3143,**,B2.5V,2.6,1.5,4.0,
HIP 74066,V* HR Lup,227.05051614875,-40.58393206034,-28.686,-31.533,9.4922,0.0786,a2*,B8IVSi,2.8,7.4,5.79,
HIP 101477,* nu. Mic,308.47946905274,-44.516045619100005,11.56,-35.355,12.9361,0.0955,RG*,K0III,-2.982,,5.118,
HIP 76397,HD 138816,234.05041395146003,-44.3968262751,-45.07,-56.339,5.7828,0.0764,PM*,K4/5III,-19.4,2.0,5.434,
HIP 74707,HD 135345,229.01674599709,-41.49116569804,-5.409,-2.83,0.2968,0.4491,**,A/F,-20.86,0.41,5.171,
HIP 93860,HD 177365,286.7284099294,-50.32314266625,-2.721,-31.275,8.7497,0.1414,*,B9V,,,6.274,
HIP 87379,* nu.02 Ara,267.79602210925,-53.13026904318,14.823,0.415,5.7871,0.0418,*,B9.5III/IV,18.92,0.14,6.076,
HIP 89597,HD 167257,274.25383121547,-51.0682665984,1.26,-9.497,7.7579,0.0512,*,B9V,-1.47,0.63,6.048,
HIP 85312,* kap Ara,261.50017970203,-50.63350661627,13.004,7.554,7.5862,0.0741,*,G8III,18.11,0.14,5.193,
HIP 92646,* kap Tel,283.16518737221,-52.10736978301,38.421,-96.728,12.0693,0.0991,PM*,G8/K0III,-44.3,0.06,5.173,
HIP 85470,HD 157753,261.99000553607993,-52.29714302850999,-5.244,-72.181,9.2351,0.0735,PM*,K2III,-12.41,0.4,5.723,
HIP 91062,HD 170873,278.62966065830994,-52.89152100597,-16.944,-42.325,5.9179,0.0283,*,K2III,24.86,0.16,6.202,
HIP 97598,HD 187086,297.5585816268899,-47.55738927077,9.424,-10.867,3.1998,0.0655,*,M1III,-65.86,0.27,5.895,
HIP 98482,HD 189080,300.10553302955,-49.35094496557,-77.932,-2.298,9.1277,0.0321,RG*,K0III,67.59,0.13,6.176,
HIP 81733,HD 150168,250.41760905926003,-49.65155234261999,-1.636,-2.537,0.9741,0.0641,s*b,B1Iab/Ib,6.0,7.4,5.68,
HIP 82868,HD 152478,254.03684170899996,-50.67478969313,-9.403,-9.592,3.3089,0.0441,Be*,B3Vnpe,19.0,4.3,6.33,
HIP 77678,HD 141544,237.88090783814,-47.060804121850005,-113.119,-33.962,9.7372,0.128,SB*,K2III,30.3,1.3,6.005,
HIP 76809,HD 139599,235.24262110881,-47.7360917658,-35.451,-43.159,3.5973,0.0508,PM*,K5/M0III,-52.9,0.15,6.209,
HIP 80208,HD 147152,245.6166482746788,-49.572352378579446,-11.89,-25.664,4.629,0.1409,Pu*,B3V,-10.0,4.2,5.318,
HIP 80000,* gam02 Nor,244.9600929499804,-50.15550599744805,-159.666,-51.94,23.5698,0.1272,PM*,K0III,-29.15,0.42,4.02,
HIP 80142,HD 147001,245.3626363965,-48.18862259341,-12.95,-22.107,5.6711,0.0374,*,B7V,-14.0,7.4,6.498,
HIP 105696,* tet02 Mic,321.1034081629167,-41.006695371944446,24.64,-0.25,8.35,0.7,**,ApSi,8.0,2.3,5.775,
HIP 106327,* ksi Gru,323.0244829839,-41.17931007454,19.357,10.764,7.609,0.0763,*,K0III,-9.81,0.13,5.286,
HIP 70987,HD 127193,217.79516464926,-38.86971100555,4.998,26.811,9.159,0.0437,HB*,K1III,8.83,0.14,5.983,
HIP 73354,HD 132242,224.86328708034,-43.15985065802,-11.222,-9.658,3.3705,0.0394,*,F7II,-25.7,2.1,6.095,
HIP 71429,HD 128152,219.1004327511602,-39.5974169214251,-48.152,-23.754,5.7223,0.2876,PM*,K1III,-27.44,16.38,6.141,
HIP 74449,* e Lup,228.2066146639312,-44.50041400716694,-21.669,-21.895,7.2373,0.2045,SB*,B3IV/V,13.5,2.0,4.806,
HIP 71453,HD 128207,219.18388438146,-40.21158230212,-23.575,-21.922,7.3322,0.0807,Pu*,B8V,2.0,4.3,5.736,
HIP 71581,HD 128488,219.58072303359,-38.7941866005,34.545,-24.599,5.2123,0.0535,*,K3III,31.34,0.31,6.031,
HIP 74716,HD 135348,229.04358558949,-43.48499654575001,-9.451,-7.709,3.1713,0.065,*,B2/3IV,-21.1,2.0,6.034,
HIP 74100,HD 133937,227.16332510108,-42.86792290517,-21.125,-21.404,6.9353,0.0765,Pu*,B5/7V,2.0,4.0,5.82,
HIP 86305,* pi. Ara,264.52298079539,-54.50043389668001,-50.775,-149.745,24.3817,0.0805,PM*,A5IV/V,-2.11,0.22,5.242,
HIP 86064,HD 159018,263.83294480595,-53.3529296013,-4.733,-18.732,3.972,0.0386,*,B9III,3.0,3.4,6.08,
HIP 83431,* eps02 Ara,255.78647331192,-53.23693600877001,-22.409,-143.793,37.3696,0.1347,**,F5VFe+0.5,7.0,2.0,5.278,
HIP 83187,HD 153053,255.02616372179,-54.597177028,-7.877,-71.98,18.9838,0.0473,PM*,A5IV/V,-23.68,0.19,5.633,
HIP 96141,HD 183552,293.22426626507,-53.18561522325,36.27,-7.392,9.6769,0.1128,*,Fm_dD,14.0,13.8,5.744,
HIP 87174,HD 161420,267.15859175807,-55.40173989757,-21.391,35.602,18.8686,0.0317,*,F0IV,-12.02,0.38,6.085,
HIP 89605,HD 167128,274.2813851056508,-56.02334932875639,-4.021,-13.071,2.7122,0.1187,Be*,B3IIIe,15.0,4.2,5.36,
HIP 95261,* eta Tel,290.71335865609,-54.42392933816,25.824,-82.965,20.6028,0.0988,PM*,A0V,-1.29,0.0456,5.02,
HIP 106500,HD 205096,323.57148931126994,-42.92467973263,-26.461,-8.574,8.2868,0.0237,*,K1IIICNII,10.21,0.13,6.324,
HIP 77541,HD 141194,237.48957601953003,-48.91240454570001,-28.406,-11.117,13.3058,0.3423,*,A1V,12.0,10.0,5.837,
HIP 78540,HD 143321,240.51864861505,-51.12077193211,-10.88,-16.582,4.6702,0.0393,*,B5V,-19.9,1.5,6.387,
HIP 76935,HD 139871,235.65510851428,-49.489534093710006,-3.625,-22.683,5.3188,0.0333,*,K2III,-16.1,0.16,6.01,
HIP 74696,HD 135235,228.97363835705,-48.07368529812,1.218,-10.403,19.3048,0.0289,*,A2IIIs,-9.37,0.22,5.958,
HIP 95866,HD 182893,292.46920948844,-55.44175142554,23.472,-65.581,9.9485,0.0394,PM*,K0/1III,-26.39,0.15,6.127,
HIP 72338,HD 130073,221.88373031412,-43.55680807434,-13.2,-14.468,4.1871,0.0326,*,G8III,-20.11,0.17,6.3,
HIP 94054,HD 177693,287.21801974621,-55.72042492061,56.586,-115.876,8.6669,0.0269,PM*,K1III,-20.47,0.17,6.45,
HIP 70966,HD 127152,217.73590091758,-40.84512431613,-14.634,-5.363,3.8238,0.0273,*,K3III,-14.95,0.26,6.374,
HIP 70626,HD 126475,216.70780500794,-39.873984514860005,-20.689,-21.204,7.0922,0.0556,*,B9V,6.5,2.5,6.346,
HIP 92021,HD 172781,281.34951153554,-56.88196905995999,-40.658,-20.72,4.7839,0.0337,*,K3III,70.13,0.14,6.21,
HIP 97816,HD 187420,298.15717153926,-54.9710277709,18.63,3.076,8.0046,0.0705,*,G8/K0III,-16.06,0.13,5.705,
HIP 99747,HD 191829,303.57927190612,-52.44576536878,25.493,-54.246,4.5849,0.1152,PM*,K4III,11.91,0.25,5.632,
HIP 106429,HD 204960,323.34797822867,-44.84870535228,-18.34,-2.665,5.3029,0.2081,*,K1III,12.04,3.57,5.563,
HIP 97819,HD 187421,298.16305003023,-54.97644435125,19.549,2.252,7.8714,0.037,*,A1/3V,-21.5,1.9,6.366,
HIP 99120,* ksi Tel,301.84648944839,-52.88079278415,-15.034,11.334,4.3579,0.2786,*,K5III,36.0,2.0,4.94,
HIP 85267,* gam Ara,261.3485804629167,-56.37772632638889,-0.44,-15.77,2.93,0.16,Be*,B1Ib,-3.0,2.9,3.34,
HIP 83081,* zet Ara,254.65505223357655,-55.9901388628425,-17.518,-36.12,5.7725,0.1727,*,K3III,-6.0,0.6,3.076,
HIP 82672,HD 151967,253.50150216665,-57.90951153505,-39.961,-124.119,5.1573,0.0802,PM*,M1III,-42.58,0.16,5.905,
HIP 86871,HD 160720,266.23276926307,-57.54554024487,18.941,-12.38,7.5998,0.0335,**,G8III,-5.55,0.13,5.964,
HIP 79497,* zet Nor,243.34457461515,-55.54094743015,-98.817,-42.07,14.3706,0.0371,PM*,F2IV/V,-45.43,0.21,5.772,
HIP 78469,HD 143101,240.27694923891,-54.57790330279,-37.886,-41.821,7.8879,0.066,PM*,A5V,-31.5,4.3,6.124,
HIP 75742,HD 137465,232.1133717142,-51.59793480234,-3.661,-5.032,1.3392,0.0289,*,G2II,-14.58,0.14,6.094,
HIP 74006,HD 133631,226.85812567253,-49.0886080396,24.306,8.058,10.8712,0.223,*,G8III,-11.43,1.45,5.766,
HIP 73881,HD 133399,226.5100602941,-48.88339292875,-2.865,-9.997,1.9851,0.0474,*,B2/3V,-3.0,5.0,6.467,
HIP 74418,HD 134597,228.13001304104,-48.21899339446001,-25.315,-41.286,6.9782,0.0282,*,K2III,-42.67,0.13,6.332,
HIP 74380,* kap02 Lup,227.99031402229,-48.74368566297,-98.497,-43.645,17.906,0.0587,PM*,A3/5V,0.0,3.7,5.498,
HIP 70915,HD 126981,217.53595288506,-45.32135607256,-38.138,-27.469,7.4763,0.0924,*,B8V,5.6,2.9,5.5,
HIP 71419,HD 128068,219.0792959211,-46.24545086947,-31.247,17.233,4.6989,0.0858,*,K3III,-58.39,0.15,5.55,
HIP 105685,HD 203548,321.08684918854,-46.61470558076,48.122,-14.219,8.7395,0.0319,PM*,A5mA6-F0,-22.53,0.14,6.293,
HIP 96607,HD 184585,294.60813959107,-57.98333711416,30.146,-61.628,6.4188,0.0246,PM*,K0III,-10.05,0.13,6.187,
HIP 71500,* a Lup,219.33398637083332,-46.1334391875,-10.37,-10.28,2.39,7.26,**,G8III,-15.8,1.78,5.431,
HIP 69598,HD 124433,213.67775133692,-41.83749213378,-129.897,-18.529,7.4069,0.0753,PM*,G8III,-36.69,0.18,5.613,
HIP 103206,HD 198766,313.64628199847,-50.72734255534,10.838,-15.844,4.0989,0.0593,*,B5IV,-4.0,4.3,6.219,
HIP 70580,HD 126386,216.55601454524,-42.31859986169,-112.79,-52.831,8.8143,0.0248,PM*,K2III,-32.11,0.13,6.333,
HIP 105425,HD 203010,320.3191692646,-49.938247617,-2.345,-161.67,8.4428,0.0265,PM*,K3III,23.59,0.17,6.38,
HIP 99137,HD 190422,301.89621086878,-55.01601366956,18.283,35.31,41.5069,0.028,*,F9VCH-0.4,12.44,0.24,6.25,
HIP 102333,* eta Ind,311.00972491813707,-51.92097035308806,156.663,-54.644,41.3357,0.1157,dS*,A9IV,-3.93,0.34,4.495,
HIP 80788,V* V378 Nor,247.43841954539,-57.75632428837,-1.666,-2.559,1.0264,0.0349,Ce*,G8Ib,6.57,0.19,6.052,
HIP 82110,HD 150745,251.58844118041,-58.50359540406,-1.554,-11.007,2.45,0.0625,*,B2III/IV,-16.0,4.3,5.728,
HIP 80675,HD 147977,247.06316576065,-58.59979409052999,-21.611,-35.347,3.3419,0.0565,*,B9II/III,1.5,4.3,5.673,
HIP 85169,HD 156942,261.07831836711,-60.673797339690005,2.905,-11.827,3.3222,0.0768,*,B8Ib/II,-7.13,0.54,5.754,
HIP 84731,HD 156091,259.80211464702,-59.69461171441,-3.126,-8.275,2.2616,0.0376,*,K2IIIaCN1Ca1Ba0.5,-4.06,0.13,5.894,
HIP 86088,HD 158895,263.89585514168,-59.84612314597,-3.932,-6.617,2.0944,0.0451,*,B5II/III,-8.6,0.8,6.257,
HIP 90098,* ksi Pav,275.80682218129,-61.49391192172,-1.775,8.96,4.4041,0.8898,SB*,K4III,12.2,0.9,4.367,
HIP 92008,HD 172630,281.29802941611,-61.0951931515,23.486,-23.19,4.1058,0.0368,*,K3III,-18.94,0.15,6.019,
HIP 79153,* iot02 Nor,242.32728185147,-57.934319113460006,-13.979,-59.561,12.6306,0.2358,PM*,B9.5V,0.0,3.7,5.57,
HIP 79689,HD 145782,243.95748958624,-57.91234940875,-12.356,-49.811,8.1576,0.052,PM*,A3III,-19.11,0.16,5.622,
HIP 70104,HD 125442,215.17742367133,-45.18705767494,37.502,-73.806,21.4601,0.2277,PM*,F0IV,0.0,3.7,4.77,
HIP 77058,V* T Nor,236.01601850367,-54.98681089638,-5.913,-12.383,1.5155,0.064,Mi*,M4+B,-31.0,4.5,6.2,
HIP 70663,HD 126504,216.8006422991,-46.13419376274,-150.42,-88.472,20.6065,0.455,PM*,A1mA5/7-F2,-25.6,2.0,5.811,
HIP 69996,* iot Lup,214.85092150390665,-46.05809425901695,-12.52,-5.148,9.3286,0.532,*,B2.5IV,21.6,4.1,3.529,
HIP 71536,* rho Lup,219.471775669755,-49.4258282866625,-28.921,-29.213,9.3484,0.2016,*,B3/4V,8.0,7.4,4.05,
HIP 73966,HD 133518,226.73321398528,-52.02977913842,-3.195,-11.76,1.6416,0.0743,**,B2IVpHe,-5.67,0.85,6.39,
HIP 74395,* zet Lup,228.07123134275705,-52.099248703500834,-112.9,-72.278,28.7616,0.1881,PM*,G8III,-10.0,0.6,3.41,
HIP 98608,V* NU Pav,300.43643574219703,-59.37589630433693,21.291,-24.314,5.9102,0.3115,LP*,M6III,-13.1,8.6,5.13,
HIP 104085,* mu. Ind,316.30936971738,-54.72704155633,15.421,-37.115,7.7236,0.074,*,K2III,13.2,0.19,5.163,
HIP 71860,* alf Lup,220.4823157775,-47.38819874611111,-20.94,-23.67,7.02,0.17,bC*,B1.5III,5.4,0.7,2.286,
HIP 70809,HD 126759,217.21627576198,-47.99208229199999,-25.419,-21.151,7.1627,0.0493,*,ApSi,-4.0,8.0,6.39,
HIP 92609,* lam Pav,283.0543076300271,-62.18759092175556,-1.8,-13.359,2.9726,0.1811,Be*,B2Ve,9.0,4.1,4.207,
HIP 104978,HD 202103,318.9410960714399,-53.26308879193,41.12,-13.821,7.6878,0.284,**,A3V(m),-12.9,1.6,5.719,
HIP 98174,HD 188162,299.27628828807,-58.90135170707,22.752,-14.8,11.0714,0.1138,*,B9.5IV,-2.0,2.0,5.241,
HIP 97971,HD 187653,298.66850257351,-61.17079144345999,-7.689,10.317,9.4179,0.077,*,A4V,11.42,0.63,6.205,
HIP 81507,HD 149485,249.7195636319,-60.99039514158001,1.716,-35.417,5.4775,0.1155,*,B7Vn,-7.0,5.0,6.15,
HIP 88815,HD 164871,271.95152067158,-64.55017004424,-12.532,-65.417,5.5786,0.0418,PM*,K2/3III,-18.42,0.28,6.392,
HIP 85480,HD 157524,262.03277092727,-63.03624001386999,-10.596,-22.804,4.2874,0.0453,*,B7/8V,6.33,0.36,6.208,
