catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HD 118232,*  24 CVn,203.61358305917585,49.015971971378896,-127.914,27.811,17.5952,0.1102,PM*,A4V,-18.3,2.0,4.7,
HD 175813,* eps CrA,284.68076131022,-37.10732798126,-131.234,-98.23,31.8084,0.1122,SB*,F4VFe-0.8+,57.9,1.2,4.85,
HD  11937,* chi Eri,28.98941569355876,-51.60887759053111,680.11,294.318,56.8508,0.1628,PM*,G8IIIbCNIV,-6.3,0.7,3.71,
HD 160922,* ome Dra,264.23789294864787,68.75796709276833,1.69,321.452,42.0939,0.1425,SB*,F4V,-13.98,0.02,4.77,
HD  28527,HD  28527,67.64013589133,16.194013804560004,104.889,-25.446,22.1875,0.143,dS*,A6IV,32.8012,0.043,4.764,
HD 124897,* alf Boo,213.915300294925,19.1824091615312,-1093.39,-2000.06,88.83,0.54,RG*,K1.5IIIFe-0.5,-5.229,0.0002,-0.05,NAME Arcturus
HD 172167,* alf Lyr,279.234734787025,38.783688956244,200.94,286.23,130.23,0.36,dS*,A0V,-13.5,0.4,0.03,NAME Vega
HD 222439,* kap And,355.1021155795796,44.33393296378723,79.998,-19.011,19.4064,0.2104,PM*,B9IVn,-12.7,0.8,4.14,
HD   5394,* gam Cas,14.17721289375,60.71674002472222,25.17,-3.92,5.94,0.12,HXB,B0.5IVpe,-6.8,0.9,2.39,
HD 169467,* alf Tel,276.74340176679584,-45.968457754716674,-17.31,-53.512,11.6696,0.4046,PM*,B3IV,-0.2,2.0,3.463,
HD 170465,* del01 Tel,277.9393050123404,-45.91481250026611,-3.419,-26.369,5.0638,0.1186,SB*,B5/7,7.0,5.0,4.92,
HD 181623,* bet02 Sgr,290.80473985061576,-44.79977880009028,93.218,-53.775,23.3612,0.2744,PM*,F2/3V,11.5,1.0,4.27,NAME Arkab Posterior
HD 184127,* iot Tel,293.8041097609399,-48.0991990457,-8.19,-36.977,8.6546,0.1055,*,K0III,22.45,0.14,4.879,
HD 158427,* alf Ara,262.9603813675,-49.87614501138889,-33.27,-67.22,12.2,0.85,Be*,B2Vne,0.0,,2.95,
