catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HIP 66234,*  24 CVn,203.61358305917585,49.015971971378896,-127.914,27.811,17.5952,0.1102,PM*,A4V,-18.3,2.0,4.7,
HIP 93174,* eps CrA,284.68076131022,-37.10732798126,-131.234,-98.23,31.8084,0.1122,SB*,F4VFe-0.8+,57.9,1.2,4.85,
HIP 9007,* chi Eri,28.98941569355876,-51.60887759053111,680.11,294.318,56.8508,0.1628,PM*,G8IIIbCNIV,-6.3,0.7,3.71,
HIP 86201,* ome Dra,264.23789294864787,68.75796709276833,1.69,321.452,42.0939,0.1425,SB*,F4V,-13.98,0.02,4.77,
HIP 21029,HD  28527,67.64013589133,16.194013804560004,104.889,-25.446,22.1875,0.143,dS*,A6IV,32.8012,0.043,4.764,
HIP 69673,* alf Boo,213.915300294925,19.1824091615312,-1093.39,-2000.06,88.83,0.54,RG*,K1.5IIIFe-0.5,-5.229,0.0002,-0.05,NAME Arcturus
HIP 91262,* alf Lyr,279.234734787025,38.783688956244,200.94,286.23,130.23,0.36,dS*,A0V,-13.5,0.4,0.03,NAME Vega
HIP 116805,* kap And,355.1021155795796,44.33393296378723,79.998,-19.011,19.4064,0.2104,PM*,B9IVn,-12.7,0.8,4.14,
HIP 4427,* gam Cas,14.17721289375,60.71674002472222,25.17,-3.92,5.94,0.12,HXB,B0.5IVpe,-6.8,0.9,2.39,
HIP 90422,* alf Tel,276.74340176679584,-45.968457754716674,-17.31,-53.512,11.6696,0.4046,PM*,B3IV,-0.2,2.0,3.463,
HIP 90830,* del01 Tel,277.9393050123404,-45.91481250026611,-3.419,-26.369,5.0638,0.1186,SB*,B5/7,7.0,5.0,4.92,
HIP 95294,* bet02 Sgr,290.80473985061576,-44.79977880009028,93.218,-53.775,23.3612,0.2744,PM*,F2/3V,11.5,1.0,4.27,NAME Arkab Posterior
HIP 96341,* iot Tel,293.8041097609399,-48.0991990457,-8.19,-36.977,8.6546,0.1055,*,K0III,22.45,0.14,4.879,
HIP 85792,* alf Ara,262.9603813675,-49.87614501138889,-33.27,-67.22,12.2,0.85,Be*,B2Vne,0.0,,2.95,
HIP 75141,* del Lup,230.34297427253,-40.64753036915,-9.163,-17.377,6.7296,0.4819,bC*,B1.5IV,-2.4,2.8,3.19,
HIP 71865,* b Cen,220.48996060458245,-37.79349450012777,-29.828,-31.914,10.0339,0.3143,**,B2.5V,2.6,1.5,4.0,
HIP 80000,* gam02 Nor,244.9600929499804,-50.15550599744805,-159.666,-51.94,23.5698,0.1272,PM*,K0III,-29.15,0.42,4.02,
HIP 74449,* e Lup,228.2066146639312,-44.50041400716694,-21.669,-21.895,7.2373,0.2045,SB*,B3IV/V,13.5,2.0,4.806,
HIP 99120,* ksi Tel,301.84648944839,-52.88079278415,-15.034,11.334,4.3579,0.2786,*,K5III,36.0,2.0,4.94,
HIP 85267,* gam Ara,261.3485804629167,-56.37772632638889,-0.44,-15.77,2.93,0.16,Be*,B1Ib,-3.0,2.9,3.34,
HIP 83081,* zet Ara,254.65505223357655,-55.9901388628425,-17.518,-36.12,5.7725,0.1727,*,K3III,-6.0,0.6,3.076,
HIP 102333,* eta Ind,311.00972491813707,-51.92097035308806,156.663,-54.644,41.3357,0.1157,dS*,A9IV,-3.93,0.34,4.495,
HIP 90098,* ksi Pav,275.80682218129,-61.49391192172,-1.775,8.96,4.4041,0.8898,SB*,K4III,12.2,0.9,4.367,
HIP 70104,HD 125442,215.17742367133,-45.18705767494,37.502,-73.806,21.4601,0.2277,PM*,F0IV,0.0,3.7,4.77,
HIP 69996,* iot Lup,214.85092150390665,-46.05809425901695,-12.52,-5.148,9.3286,0.532,*,B2.5IV,21.6,4.1,3.529,
HIP 71536,* rho Lup,219.471775669755,-49.4258282866625,-28.921,-29.213,9.3484,0.2016,*,B3/4V,8.0,7.4,4.05,
HIP 74395,* zet Lup,228.07123134275705,-52.099248703500834,-112.9,-72.278,28.7616,0.1881,PM*,G8III,-10.0,0.6,3.41,
HIP 71860,* alf Lup,220.4823157775,-47.38819874611111,-20.94,-23.67,7.02,0.17,bC*,B1.5III,5.4,0.7,2.286,
HIP 92609,* lam Pav,283.0543076300271,-62.18759092175556,-1.8,-13.359,2.9726,0.1811,Be*,B2Ve,9.0,4.1,4.207,
HIP 101612,* phi01 Pav,308.89520861537994,-60.58174912319,69.912,-185.861,35.6214,0.0983,PM*,F0V,-17.59,0.21,4.745,
HIP 92024,HD 172555,281.3620874193479,-64.87125966888472,31.952,-149.73,34.7355,0.1575,PM*,A7V,2.8,0.24,4.767,
HIP 67464,* nu. Cen,207.37615211559708,-41.68770852979139,-26.137,-21.226,8.0476,0.347,bC*,B2V,9.0,0.9,3.386,
HIP 79664,* del TrA,243.85946160941205,-63.68568150484638,3.261,-13.715,4.5766,0.1313,*,G2Ib-IIa,-4.9,0.7,3.839,
HIP 74837,* eps Cir,229.41205445474,-63.61046753678,3.209,9.344,7.5809,0.1085,*,K2III,-4.22,0.42,4.849,
HIP 67234,* M Cen,206.6640796658037,-51.43275733387334,9.258,-29.111,12.1389,0.4329,SB*,G8/K0III,-15.97,2.25,4.632,
HIP 69191,HD 123569,212.47839265528,-53.43894579245,-145.136,-91.064,18.2253,0.1091,PM*,G9-III,-17.09,0.15,4.736,
HIP 91792,* zet Pav,280.75890139645867,-71.42811561050279,1.186,-158.496,15.1495,0.1135,PM*,K0III,-16.3,0.7,4.003,
HIP 98495,* eps Pav,300.14813137628624,-72.9105035987675,81.002,-131.99,31.2593,0.1916,PM*,A0Va,-8.13,0.52,3.94,
HIP 63945,* f Cen,196.5695986005133,-48.46329070242833,-29.558,-15.692,8.1592,0.1559,Pu*,B4V,6.0,4.2,4.691,
HIP 114421,* iot Gru,347.5897011042054,-45.24670946895333,138.597,-28.14,15.8566,0.5265,SB*,K1III,-4.4,0.9,3.877,
HIP 68191,HD 121474,209.41201490413,-63.68669831684,-40.64,-33.433,15.2855,0.0804,PM*,K1.5IIIb:,21.9,0.17,4.701,
HIP 113638,* zet Gru,345.22003148243,-52.75411085788,-64.223,-17.832,19.9108,0.6058,PM*,K1IIIFe-1.2CN-0.5,-1.1,2.0,4.115,
HIP 63724,* ksi01 Cen,195.88877129562,-49.52726358175,-47.858,-11.496,14.8276,0.1073,*,A0V,0.0,3.7,4.826,
HIP 81065,* gam Aps,248.3628438138967,-78.89714816863112,-125.575,-78.212,21.3033,0.1523,PM*,G8III,5.4,0.7,3.854,
HIP 64583,HD 114837,198.56310307496,-59.10323722999001,-248.678,-153.176,54.8247,0.0809,PM*,F6VFe-0.4,-63.62,0.2,4.93,
HIP 65271,* J Cen,200.65805458993412,-60.98838060058584,-29.518,-21.698,8.8824,0.1293,**,B3V,6.0,3.7,4.509,
HIP 63003,* mu.01 Cru,193.6484344215275,-57.17792469914083,-31.631,-13.353,8.0152,0.2136,Pu*,B2IV-V,13.9,0.7,4.04,
HIP 114996,* gam Tuc,349.35731852264,-58.23570137616001,-10.769,74.585,44.0808,0.5332,PM*,F4V,4.68,0.9,3.98,
HIP 62268,* iot Cru,191.40854861858,-60.98132118807,112.266,-65.641,26.1753,0.0952,PM*,K0III,7.45,0.12,4.686,
HIP 60823,* sig Cen,187.00992548273496,-50.23063797449278,-32.173,-13.171,7.9249,0.2345,**,B2V,8.0,4.1,3.91,
HIP 61622,* tau Cen,189.4256837492,-48.54130535928,-186.081,-6.757,24.2953,0.2269,PM*,A1IVnn,5.5,2.3,3.86,
HIP 62327,HD 110956,191.59464352716373,-56.488815491873886,-33.627,-15.105,9.7326,0.1682,Pu*,B2/3V,16.6,2.0,4.62,
HIP 62434,* bet Cru,191.9302865619529,-59.68877199622606,-42.97,-16.18,11.71,0.98,bC*,B1IV,10.3,0.2,1.25,NAME Mimosa
HIP 116602,HD 222095,354.4624767675046,-45.49235208473639,71.117,-12.415,15.3569,0.1589,PM*,A1/2V,3.4,2.5,4.74,
HIP 69896,* eta Aps,214.55789958256,-81.00775849839,-19.981,-65.222,22.9229,0.118,PM*,A2mA7-F2,-9.4,2.0,4.889,
HIP 61585,* alf Mus,189.29590786916668,-69.1355647886111,-40.2,-12.8,10.34,0.11,**,B2IV,13.0,4.0,2.649,
HIP 61084,* gam Cru,187.79149837560797,-57.11321345705891,28.23,-265.08,36.83,0.18,PM*,M3.5III,21.0,0.1,1.64,NAME Gacrux
HIP 60710,* G Cen,186.63233351866413,-51.45063581013528,-30.801,-9.969,7.3452,0.183,Pu*,B3V(n),5.0,4.2,4.808,
HIP 118121,* eta Tuc,359.39616103627,-64.29822981874,78.849,-61.755,20.4208,0.3183,**,A1V,32.5,1.78,4.989,
HIP 60000,* bet Cha,184.58676960730585,-79.31223407416667,-40.511,11.413,10.7116,0.2042,Pu*,B4V,23.0,4.1,4.229,
